CT2_ALLOC_DEBUG beam step=0 allocs=91 frees=52
CT2_ALLOC_DEBUG beam step=1 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=2 allocs=49 frees=48
CT2_ALLOC_DEBUG beam step=3 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=4 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=5 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=6 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=7 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=8 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=9 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=10 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=11 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=12 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=13 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=14 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=15 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=16 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=17 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=18 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=19 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=20 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=21 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=22 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=23 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=24 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=25 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=26 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=27 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=28 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=29 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=30 allocs=98 frees=98
CT2_ALLOC_DEBUG beam step=31 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=32 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=33 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=34 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=35 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=36 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=37 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=38 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=39 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=40 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=41 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=42 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=43 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=44 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=45 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=46 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=47 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=48 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=49 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=50 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=51 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=52 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=53 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=54 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=55 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=56 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=57 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=58 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=59 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=60 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=61 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=62 allocs=98 frees=98
CT2_ALLOC_DEBUG beam step=63 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=64 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=65 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=66 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=67 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=68 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=69 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=70 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=71 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=72 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=73 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=74 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=75 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=76 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=77 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=78 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=79 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=80 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=81 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=82 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=83 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=84 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=85 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=86 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=87 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=88 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=89 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=90 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=91 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=0 allocs=62 frees=50
CT2_ALLOC_DEBUG beam step=1 allocs=73 frees=73
CT2_ALLOC_DEBUG beam step=2 allocs=49 frees=48
CT2_ALLOC_DEBUG beam step=3 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=4 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=5 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=6 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=7 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=8 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=9 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=10 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=11 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=12 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=13 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=14 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=15 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=16 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=17 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=18 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=19 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=20 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=21 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=22 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=23 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=24 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=25 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=26 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=27 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=28 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=29 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=30 allocs=72 frees=72
CT2_ALLOC_DEBUG beam step=31 allocs=72 frees=72
CT2_ALLOC_DEBUG beam step=32 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=33 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=34 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=35 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=36 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=37 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=38 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=39 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=40 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=41 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=42 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=43 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=44 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=45 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=46 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=47 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=48 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=49 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=50 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=51 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=52 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=53 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=54 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=55 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=56 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=57 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=58 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=59 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=60 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=61 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=62 allocs=72 frees=72
CT2_ALLOC_DEBUG beam step=63 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=64 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=65 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=66 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=67 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=68 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=69 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=70 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=71 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=72 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=73 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=74 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=75 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=76 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=77 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=78 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=79 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=80 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=81 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=82 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=83 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=84 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=85 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=86 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=87 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=88 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=89 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=90 allocs=48 frees=48
CT2_ALLOC_DEBUG beam step=91 allocs=48 frees=48
