Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.1,888839984,164197,5413.3,4700.0,3960,18538745,78407.2,cudaLaunchKernel
17.9,289557140,4163,69554.9,8250.0,3400,15410335,586183.1,cudaMemcpyAsync
17.8,287996241,57092,5044.4,4780.0,4060,219784,1804.7,cuLaunchKernel
3.0,48031682,57092,841.3,630.0,400,4642179,23912.4,cuKernelGetFunction
2.1,34369316,14,2454951.1,2316244.0,797625,5065896,1471008.7,cuLibraryLoadData
1.2,20076086,2990,6714.4,1470.0,840,9930300,182606.4,cudaMallocAsync
1.2,19649395,6,3274899.2,3395.0,1620,19628045,8011373.4,cudaDeviceSynchronize
0.3,4783445,2990,1599.8,1390.0,940,20160,921.1,cudaFreeAsync
0.2,3740991,7,534427.3,82111.0,9470,2620230,956957.8,cudaFree
0.2,3161677,8961,352.8,310.0,210,36191,583.4,cudaMemsetAsync
0.2,3096009,2,1548004.5,1548004.5,1527189,1568820,29437.6,cudaGetDeviceProperties
0.2,2965088,8,370636.0,211964.0,9210,1156022,480729.1,cudaStreamSynchronize
0.1,2180883,9,242320.3,80582.0,32631,830026,264711.3,cuLibraryUnload
0.1,1865066,1,1865066.0,1865066.0,1865066,1865066,0.0,cudaHostAlloc
0.1,1186686,182,6520.3,6165.5,5040,33400,2776.9,cudaLaunchKernelExC
0.0,740414,1,740414.0,740414.0,740414,740414,0.0,cudaFreeHost
0.0,487532,1676,290.9,250.0,160,9610,273.2,cuGetProcAddress_v2
0.0,465048,5,93009.6,126322.0,3420,196774,83379.8,cudaMalloc
0.0,447509,16,27969.3,4240.0,3490,304846,74812.3,cudaStreamCreateWithFlags
0.0,412248,1,412248.0,412248.0,412248,412248,0.0,cudaStreamCreate
0.0,90952,26,3498.2,1685.0,460,8671,2869.0,cuLibraryGetKernel
0.0,65221,17,3836.5,3041.0,2820,11180,2251.8,cudaStreamDestroy
0.0,19971,19,1051.1,600.0,520,5391,1191.7,cudaEventCreateWithFlags
0.0,14240,19,749.5,530.0,450,3310,650.0,cudaEventDestroy
0.0,13810,6,2301.7,2260.0,1350,3490,713.7,cuInit
0.0,8391,1,8391.0,8391.0,8391,8391,0.0,cudaEventRecord
0.0,2900,5,580.0,320.0,180,1790,682.1,cuModuleGetLoadingMode
0.0,1460,2,730.0,730.0,430,1030,424.3,cudaGetDriverEntryPoint
