Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
78.6,1388735420,4163,333590.1,4970.0,3380,15174981,904873.1,cudaMemcpyAsync
9.2,162592313,18693,8698.0,4720.0,930,18333821,232736.8,cudaLaunchKernel
3.4,60501808,616,98217.2,95076.5,89941,216634,15763.7,cudaGraphLaunch
1.9,34371106,14,2455079.0,2324009.0,785335,5173059,1516428.9,cuLibraryLoadData
1.3,22873950,5754,3975.3,4730.0,790,27180,2138.0,cuLaunchKernel
1.3,22107793,6,3684632.2,3220.0,1740,22092443,9017948.9,cudaDeviceSynchronize
1.1,19762345,2317,8529.3,1490.0,920,10214025,213465.0,cudaMallocAsync
0.7,12937773,5754,2248.5,530.0,390,4709620,76502.1,cuKernelGetFunction
0.6,11315777,14,808269.8,645712.5,570841,1948877,474401.9,cudaGraphInstantiate
0.4,7536213,8,942026.6,618436.5,7750,2901145,1044056.1,cudaStreamSynchronize
0.2,3834204,14,273871.7,264040.0,243525,353176,31074.8,cudaGraphExecDestroy
0.2,3773082,7,539011.7,80201.0,8620,2622140,958656.3,cudaFree
0.2,3513588,2317,1516.4,1360.0,940,19911,771.1,cudaFreeAsync
0.2,3128900,2,1564450.0,1564450.0,1546990,1581910,24692.2,cudaGetDeviceProperties
0.1,1908916,1,1908916.0,1908916.0,1908916,1908916,0.0,cudaHostAlloc
0.1,1307922,9,145324.7,90291.0,31400,409428,129775.5,cuLibraryUnload
0.1,1184742,182,6509.6,5895.0,5220,32591,2972.1,cudaLaunchKernelExC
0.1,1039998,14,74285.6,73346.0,71621,84022,3144.9,cudaGraphDestroy
0.0,728444,1,728444.0,728444.0,728444,728444,0.0,cudaFreeHost
0.0,506232,1676,302.0,250.0,160,13310,422.4,cuGetProcAddress_v2
0.0,464200,5,92840.0,123033.0,3630,202204,84658.2,cudaMalloc
0.0,420148,1,420148.0,420148.0,420148,420148,0.0,cudaStreamCreate
0.0,418026,1135,368.3,290.0,210,38920,1332.3,cudaMemsetAsync
0.0,411298,16,25706.1,3890.0,3290,299076,73697.5,cudaStreamCreateWithFlags
0.0,107002,14,7643.0,7605.0,6861,9270,644.1,cudaStreamEndCapture
0.0,88121,25,3524.8,1790.0,490,8110,2852.2,cuLibraryGetKernel
0.0,77513,14,5536.6,5155.5,3620,8010,1901.4,cudaStreamBeginCapture
0.0,62452,17,3673.6,2980.0,2800,9080,1858.2,cudaStreamDestroy
0.0,25991,19,1367.9,620.0,440,13131,2883.1,cudaEventDestroy
0.0,25712,19,1353.3,590.0,510,7261,1829.8,cudaEventCreateWithFlags
0.0,15310,6,2551.7,2430.0,1380,4090,890.1,cuInit
0.0,8440,1,8440.0,8440.0,8440,8440,0.0,cudaEventRecord
0.0,3270,5,654.0,320.0,270,2060,786.3,cuModuleGetLoadingMode
0.0,1490,2,745.0,745.0,440,1050,431.3,cudaGetDriverEntryPoint
