Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.7,913611271,164832,5542.7,4850.0,4240,17984785,76672.2,cudaLaunchKernel
16.5,298114648,57092,5221.7,4960.0,4300,44530,1620.9,cuLaunchKernel
15.5,278955367,5297,52662.9,7350.0,3490,14305191,491373.8,cudaMemcpyAsync
6.0,108832052,54321,2003.5,1560.0,870,9641539,41602.9,cudaMallocAsync
4.9,88904006,54321,1636.6,1490.0,980,27900,900.2,cudaFreeAsync
2.4,43979499,57092,770.3,580.0,420,4583140,23555.5,cuKernelGetFunction
1.8,33066668,14,2361904.9,2201808.5,779953,4930146,1438891.9,cuLibraryLoadData
1.0,17631068,6,2938511.3,3325.0,1540,17615428,7190191.5,cudaDeviceSynchronize
0.2,3895379,7,556482.7,76212.0,7790,2739348,1002905.6,cudaFree
0.2,3353368,8961,374.2,330.0,230,36101,638.6,cudaMemsetAsync
0.2,3099305,2,1549652.5,1549652.5,1524737,1574568,35235.8,cudaGetDeviceProperties
0.1,1792321,1,1792321.0,1792321.0,1792321,1792321,0.0,cudaHostAlloc
0.1,1302082,9,144675.8,94952.0,26880,488658,149889.0,cuLibraryUnload
0.1,1252153,8,156519.1,198803.5,8081,223824,89571.2,cudaStreamSynchronize
0.1,1186438,182,6518.9,6050.5,5330,32951,2364.2,cudaLaunchKernelExC
0.0,728832,1,728832.0,728832.0,728832,728832,0.0,cudaFreeHost
0.0,511199,1676,305.0,250.0,160,16021,479.4,cuGetProcAddress_v2
0.0,484989,5,96997.8,125592.0,3830,205304,87137.3,cudaMalloc
0.0,386546,1,386546.0,386546.0,386546,386546,0.0,cudaStreamCreate
0.0,365836,16,22864.8,3860.5,3290,253814,62595.6,cudaStreamCreateWithFlags
0.0,88504,26,3404.0,1555.0,470,8970,2883.5,cuLibraryGetKernel
0.0,63431,17,3731.2,3010.0,2750,10090,2087.2,cudaStreamDestroy
0.0,28350,19,1492.1,590.0,520,7560,2185.2,cudaEventCreateWithFlags
0.0,15160,6,2526.7,2465.0,1350,3310,718.0,cuInit
0.0,13460,19,708.4,570.0,430,2620,492.9,cudaEventDestroy
0.0,8200,1,8200.0,8200.0,8200,8200,0.0,cudaEventRecord
0.0,2820,5,564.0,300.0,200,1780,681.7,cuModuleGetLoadingMode
0.0,1400,2,700.0,700.0,430,970,381.8,cudaGetDriverEntryPoint
