Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.9,774523340,141984,5455.0,4820.0,4260,17998855,71383.4,cudaLaunchKernel
17.6,290804226,55580,5232.2,5120.0,4340,37891,1477.9,cuLaunchKernel
12.8,210413323,5297,39723.1,7260.0,3470,6084497,140038.5,cudaMemcpyAsync
7.7,126673538,69357,1826.4,1480.0,870,9613768,36750.5,cudaMallocAsync
6.6,108118206,69357,1558.9,1490.0,1020,41031,838.8,cudaFreeAsync
2.3,38059666,55580,684.8,550.0,390,4549879,20251.9,cuKernelGetFunction
2.0,32976470,14,2355462.1,2189573.5,785164,4938757,1433730.0,cuLibraryLoadData
1.9,31516273,8,3939534.1,4737283.0,8560,4833145,1642093.5,cudaStreamSynchronize
1.0,16685543,6,2780923.8,3695.0,1610,16662722,6800665.5,cudaDeviceSynchronize
0.3,4941007,3,1647002.3,1596998.0,1529647,1814362,148798.5,cudaGetDeviceProperties
0.2,3788296,7,541185.1,79332.0,8670,2659026,970927.4,cudaFree
0.2,3417323,8961,381.4,350.0,240,36160,584.4,cudaMemsetAsync
0.1,2028065,9,225340.6,85101.0,28160,787874,256560.9,cuLibraryUnload
0.1,1924903,1,1924903.0,1924903.0,1924903,1924903,0.0,cudaHostAlloc
0.1,1125709,182,6185.2,5630.0,5250,32161,2612.9,cudaLaunchKernelExC
0.0,818744,1,818744.0,818744.0,818744,818744,0.0,cudaFreeHost
0.0,552391,5,110478.2,127083.0,3390,217524,98974.8,cudaMalloc
0.0,514690,1676,307.1,250.0,150,17010,588.3,cuGetProcAddress_v2
0.0,437627,16,27351.7,4050.0,3260,324476,79973.8,cudaStreamCreateWithFlags
0.0,418837,1,418837.0,418837.0,418837,418837,0.0,cudaStreamCreate
0.0,83602,21,3981.0,3260.0,480,9130,2980.4,cuLibraryGetKernel
0.0,66910,17,3935.9,3220.0,2770,10470,2224.5,cudaStreamDestroy
0.0,19101,19,1005.3,570.0,510,5390,1169.0,cudaEventCreateWithFlags
0.0,14660,19,771.6,620.0,470,2720,512.6,cudaEventDestroy
0.0,13130,6,2188.3,2365.0,1350,2720,559.5,cuInit
0.0,7700,1,7700.0,7700.0,7700,7700,0.0,cudaEventRecord
0.0,3580,5,716.0,360.0,230,2120,792.2,cuModuleGetLoadingMode
0.0,1480,2,740.0,740.0,460,1020,396.0,cudaGetDriverEntryPoint
