Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.8,942051191,164832,5715.2,4990.0,4270,18303632,77023.5,cudaLaunchKernel
15.1,303651887,57092,5318.6,5081.0,4460,50561,1581.0,cuLaunchKernel
13.0,260600826,6823,38194.5,7810.0,3460,13285913,396632.8,cudaMemcpyAsync
9.8,196527726,129535,1517.2,1300.0,870,9706280,27096.8,cudaMallocAsync
9.5,190910213,129535,1473.8,1350.0,970,35681,879.7,cudaFreeAsync
2.2,44448560,57092,778.5,590.0,420,4516830,23344.4,cuKernelGetFunction
1.6,33166373,14,2369026.6,2188128.5,801824,5023398,1451643.4,cuLibraryLoadData
0.8,16666183,6,2777697.2,2940.0,1630,16651433,6796714.9,cudaDeviceSynchronize
0.4,7217866,8,902233.3,1145915.0,8690,1192230,481007.9,cudaStreamSynchronize
0.2,3819157,7,545593.9,77661.0,8470,2661207,974234.0,cudaFree
0.2,3128085,2,1564042.5,1564042.5,1536407,1591678,39082.5,cudaGetDeviceProperties
0.1,3007145,8961,335.6,310.0,230,36461,471.7,cudaMemsetAsync
0.1,1888373,1,1888373.0,1888373.0,1888373,1888373,0.0,cudaHostAlloc
0.1,1304613,9,144957.0,98531.0,28511,403808,140485.0,cuLibraryUnload
0.1,1197700,182,6580.8,5960.5,5420,54591,3764.3,cudaLaunchKernelExC
0.0,745423,1,745423.0,745423.0,745423,745423,0.0,cudaFreeHost
0.0,480314,1676,286.6,240.0,160,6730,216.3,cuGetProcAddress_v2
0.0,473518,5,94703.6,129362.0,3540,197454,84167.7,cudaMalloc
0.0,429538,1,429538.0,429538.0,429538,429538,0.0,cudaStreamCreate
0.0,391576,16,24473.5,3775.0,3240,258104,64322.8,cudaStreamCreateWithFlags
0.0,92910,26,3573.5,1515.0,510,9540,3071.9,cuLibraryGetKernel
0.0,65721,17,3865.9,3090.0,2880,10940,2271.9,cudaStreamDestroy
0.0,19330,19,1017.4,590.0,510,5320,1149.5,cudaEventCreateWithFlags
0.0,13960,19,734.7,590.0,450,2930,558.8,cudaEventDestroy
0.0,13450,6,2241.7,2290.0,1390,2770,530.7,cuInit
0.0,8450,1,8450.0,8450.0,8450,8450,0.0,cudaEventRecord
0.0,2751,5,550.2,340.0,211,1570,576.2,cuModuleGetLoadingMode
0.0,1710,2,855.0,855.0,450,1260,572.8,cudaGetDriverEntryPoint
