Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.2,780774159,141984,5499.0,4840.0,4270,18062877,71450.9,cudaLaunchKernel
15.8,286164284,55580,5148.7,4971.0,4450,39611,1446.0,cuLaunchKernel
11.4,205632954,144655,1421.5,1220.0,840,9670420,25611.0,cudaMallocAsync
10.8,194346692,144655,1343.5,1190.0,950,34940,740.2,cudaFreeAsync
10.6,192460894,6823,28207.7,7370.0,3440,6104157,101217.5,cudaMemcpyAsync
2.2,40367756,55580,726.3,590.0,420,4598621,20450.9,cuKernelGetFunction
2.2,39639647,8,4954955.9,5659699.5,8040,5682680,1998896.3,cudaStreamSynchronize
1.8,33038961,14,2359925.8,2193978.5,770174,4893476,1417435.5,cuLibraryLoadData
0.9,15668255,6,2611375.8,3675.0,1530,15652535,6388837.3,cudaDeviceSynchronize
0.3,4998208,3,1666069.3,1571718.0,1526387,1900103,203942.5,cudaGetDeviceProperties
0.2,3796967,7,542423.9,80902.0,9191,2635906,964924.3,cudaFree
0.2,2988480,8961,333.5,310.0,230,36181,419.4,cudaMemsetAsync
0.1,2104967,9,233885.2,151153.0,30101,856195,271917.7,cuLibraryUnload
0.1,1862523,1,1862523.0,1862523.0,1862523,1862523,0.0,cudaHostAlloc
0.1,1129288,182,6204.9,5660.0,5300,32320,2443.6,cudaLaunchKernelExC
0.0,776053,1,776053.0,776053.0,776053,776053,0.0,cudaFreeHost
0.0,529279,5,105855.8,126712.0,3600,198413,93527.6,cudaMalloc
0.0,498005,1676,297.1,250.0,150,13921,425.0,cuGetProcAddress_v2
0.0,409437,1,409437.0,409437.0,409437,409437,0.0,cudaStreamCreate
0.0,386077,16,24129.8,3985.0,3410,250974,61672.9,cudaStreamCreateWithFlags
0.0,100310,21,4776.7,3060.0,460,20140,4690.8,cuLibraryGetKernel
0.0,86661,17,5097.7,3160.0,2870,24100,5301.0,cudaStreamDestroy
0.0,19490,19,1025.8,590.0,530,5280,1144.4,cudaEventCreateWithFlags
0.0,15060,6,2510.0,2520.0,1580,3310,645.4,cuInit
0.0,14840,19,781.1,580.0,430,3130,605.6,cudaEventDestroy
0.0,8080,1,8080.0,8080.0,8080,8080,0.0,cudaEventRecord
0.0,3750,5,750.0,250.0,210,2710,1097.3,cuModuleGetLoadingMode
0.0,1650,2,825.0,825.0,480,1170,487.9,cudaGetDriverEntryPoint
