Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.5,1443449036,5003,288516.7,12000.0,3430,15887843,740777.2,cudaMemcpyAsync
34.8,888502973,148200,5995.3,5190.0,930,18209438,81496.3,cudaLaunchKernel
2.5,64695845,861,75140.4,73302.0,67972,202905,9661.2,cudaGraphLaunch
1.7,43549355,7728,5635.3,5290.0,840,44341,1833.8,cuLaunchKernel
1.3,33610469,14,2400747.8,2238758.0,770098,4985447,1461801.3,cuLibraryLoadData
0.7,18818771,2603,7229.6,1470.0,870,9704477,191177.2,cudaMallocAsync
0.7,17511442,6,2918573.7,3255.5,1440,17496790,7141838.4,cudaDeviceSynchronize
0.6,15389280,7728,1991.4,760.0,450,4573528,63899.6,cuKernelGetFunction
0.2,4498965,7,642709.3,517132.0,475451,1358552,319550.7,cudaGraphInstantiate
0.2,4196787,2603,1612.3,1380.0,960,20141,882.7,cudaFreeAsync
0.1,3753595,7,536227.9,75901.0,8730,2611091,957655.1,cudaFree
0.1,3086992,2,1543496.0,1543496.0,1533296,1553696,14425.0,cudaGetDeviceProperties
0.1,2156599,7141,302.0,270.0,210,33931,418.2,cudaMemsetAsync
0.1,2076958,8,259619.8,190199.5,9130,1104576,351094.8,cudaStreamSynchronize
0.1,1728149,7,246878.4,230855.0,198955,299027,40051.7,cudaGraphExecDestroy
0.1,1658809,1,1658809.0,1658809.0,1658809,1658809,0.0,cudaHostAlloc
0.1,1327832,9,147536.9,72342.0,56731,399239,129490.6,cuLibraryUnload
0.0,1260044,182,6923.3,6035.5,5400,52101,4146.5,cudaLaunchKernelExC
0.0,827400,1,827400.0,827400.0,827400,827400,0.0,cudaFreeHost
0.0,487273,1676,290.7,230.0,160,13860,506.1,cuGetProcAddress_v2
0.0,486781,5,97356.2,123343.0,3700,219005,90335.6,cudaMalloc
0.0,462780,1,462780.0,462780.0,462780,462780,0.0,cudaStreamCreate
0.0,449151,7,64164.4,57001.0,55392,100603,16331.2,cudaGraphDestroy
0.0,405690,16,25355.6,3055.0,2490,267487,66596.9,cudaStreamCreateWithFlags
0.0,168383,7,24054.7,25800.0,11860,28301,5602.6,cudaStreamBeginCapture
0.0,95070,22,4321.4,4050.0,470,9150,3374.6,cuLibraryGetKernel
0.0,60121,17,3536.5,2920.0,2710,8370,1696.1,cudaStreamDestroy
0.0,48411,7,6915.9,6540.0,6140,9501,1154.0,cudaStreamEndCapture
0.0,19171,19,1009.0,550.0,500,5351,1175.7,cudaEventCreateWithFlags
0.0,13960,6,2326.7,2190.0,1280,3810,856.9,cuInit
0.0,13721,19,722.2,540.0,420,3010,611.8,cudaEventDestroy
0.0,6550,1,6550.0,6550.0,6550,6550,0.0,cudaEventRecord
0.0,2800,5,560.0,290.0,210,1700,639.0,cuModuleGetLoadingMode
0.0,1380,2,690.0,690.0,440,940,353.6,cudaGetDriverEntryPoint
