Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.3,1814996553,350710,5175.2,4690.0,4000,18033163,53052.6,cudaLaunchKernel
20.1,626055586,125888,4973.1,4690.0,4030,1766053,7171.3,cuLaunchKernel
15.6,484847876,7985,60719.8,8461.0,3380,15687037,437496.8,cudaMemcpyAsync
2.5,79362307,125888,630.4,540.0,380,4625011,15960.4,cuKernelGetFunction
1.1,33515925,14,2393994.6,2218703.5,798160,5001350,1453959.4,cuLibraryLoadData
0.7,22888952,4558,5021.7,1450.0,870,9590540,142877.7,cudaMallocAsync
0.7,22189983,6,3698330.5,3160.0,1410,22166592,9047564.6,cudaDeviceSynchronize
0.2,7432069,4558,1630.6,1350.0,860,21181,1088.5,cudaFreeAsync
0.2,5783194,18789,307.8,280.0,210,32071,402.4,cudaMemsetAsync
0.1,3756600,7,536657.1,79122.0,8880,2612943,953858.5,cudaFree
0.1,3119915,2,1559957.5,1559957.5,1557388,1562527,3633.8,cudaGetDeviceProperties
0.1,2531501,8,316437.6,19500.5,10560,1124517,502181.6,cudaStreamSynchronize
0.1,2070450,9,230050.0,98142.0,29381,801569,254439.4,cuLibraryUnload
0.1,1697520,1,1697520.0,1697520.0,1697520,1697520,0.0,cudaHostAlloc
0.0,1157656,182,6360.7,5770.0,5190,32571,2660.2,cudaLaunchKernelExC
0.0,803239,1,803239.0,803239.0,803239,803239,0.0,cudaFreeHost
0.0,490314,1676,292.6,230.0,160,25341,644.1,cuGetProcAddress_v2
0.0,481762,1,481762.0,481762.0,481762,481762,0.0,cudaStreamCreate
0.0,439932,5,87986.4,104193.0,3460,199895,81986.6,cudaMalloc
0.0,322848,16,20178.0,3030.0,2430,222356,54743.9,cudaStreamCreateWithFlags
0.0,96532,26,3712.8,1415.0,490,9240,3237.4,cuLibraryGetKernel
0.0,65042,17,3826.0,3080.0,2670,9950,1969.4,cudaStreamDestroy
0.0,28000,19,1473.7,580.0,510,7880,2195.4,cudaEventCreateWithFlags
0.0,14511,6,2418.5,2210.5,1310,3950,912.5,cuInit
0.0,13691,19,720.6,540.0,421,3110,636.3,cudaEventDestroy
0.0,7310,1,7310.0,7310.0,7310,7310,0.0,cudaEventRecord
0.0,3150,5,630.0,310.0,210,1880,705.9,cuModuleGetLoadingMode
0.0,1400,2,700.0,700.0,460,940,339.4,cudaGetDriverEntryPoint
