Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.1,1452999738,5003,290425.7,11740.0,3400,16379322,759214.8,cudaMemcpyAsync
33.3,833301233,148200,5622.8,4850.0,920,23401146,91369.4,cudaLaunchKernel
2.5,63561458,861,73822.8,72401.0,67682,162114,8337.9,cudaGraphLaunch
1.6,39553692,7728,5118.2,4870.0,820,35531,1674.1,cuLaunchKernel
1.3,33237906,14,2374136.1,2235962.5,780138,4933275,1444934.6,cuLibraryLoadData
0.7,18765794,2603,7209.3,1430.0,850,9721717,191458.8,cudaMallocAsync
0.7,17454056,6,2909009.3,3090.0,1520,17439976,7118690.9,cudaDeviceSynchronize
0.6,14899124,7728,1927.9,710.0,400,4566826,64060.9,cuKernelGetFunction
0.2,4566117,7,652302.4,530282.0,489972,1366872,317910.1,cudaGraphInstantiate
0.2,4087969,2603,1570.5,1330.0,940,23470,1005.0,cudaFreeAsync
0.1,3716408,7,530915.4,76212.0,7751,2609831,954156.7,cudaFree
0.1,3074591,2,1537295.5,1537295.5,1530335,1544256,9843.6,cudaGetDeviceProperties
0.1,2146114,7141,300.5,280.0,210,31491,384.8,cudaMemsetAsync
0.1,2044748,8,255593.5,188104.0,8670,1100816,350687.8,cudaStreamSynchronize
0.1,1725861,7,246551.6,234465.0,209905,300707,34624.9,cudaGraphExecDestroy
0.1,1642968,1,1642968.0,1642968.0,1642968,1642968,0.0,cudaHostAlloc
0.1,1374982,9,152775.8,63931.0,30671,564053,180825.3,cuLibraryUnload
0.0,1164944,182,6400.8,5780.0,5230,33390,2848.5,cudaLaunchKernelExC
0.0,777138,1,777138.0,777138.0,777138,777138,0.0,cudaFreeHost
0.0,473511,1,473511.0,473511.0,473511,473511,0.0,cudaStreamCreate
0.0,463851,5,92770.2,106893.0,3450,215515,88164.8,cudaMalloc
0.0,461834,1676,275.6,230.0,150,6451,206.6,cuGetProcAddress_v2
0.0,422140,7,60305.7,56461.0,53581,82362,9986.3,cudaGraphDestroy
0.0,340608,16,21288.0,2975.0,2400,223885,55679.1,cudaStreamCreateWithFlags
0.0,164586,7,23512.3,25801.0,10521,26821,5828.3,cudaStreamBeginCapture
0.0,94832,22,4310.5,3865.0,460,8851,3391.9,cuLibraryGetKernel
0.0,60331,17,3548.9,2890.0,2690,9050,1886.8,cudaStreamDestroy
0.0,45991,7,6570.1,6440.0,6080,7750,571.8,cudaStreamEndCapture
0.0,19231,19,1012.2,590.0,500,5340,1161.9,cudaEventCreateWithFlags
0.0,14650,6,2441.7,2185.0,1330,4260,1023.4,cuInit
0.0,13530,19,712.1,540.0,420,2760,537.6,cudaEventDestroy
0.0,7061,1,7061.0,7061.0,7061,7061,0.0,cudaEventRecord
0.0,3090,5,618.0,390.0,190,1820,681.1,cuModuleGetLoadingMode
0.0,1570,2,785.0,785.0,490,1080,417.2,cudaGetDriverEntryPoint
