Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.9,2498563836,8020,311541.6,5340.0,3410,15480599,758542.6,cudaMemcpyAsync
7.8,237809849,37040,6420.4,4920.0,910,18031309,165194.1,cudaLaunchKernel
4.3,130421984,1358,96039.8,92307.0,86112,281456,17204.6,cudaGraphLaunch
1.1,33085907,14,2363279.1,2189106.0,772748,4986386,1452104.7,cuLibraryLoadData
1.1,32712900,9324,3508.5,4930.0,770,32861,2593.8,cuLaunchKernel
1.0,29339830,42,698567.4,612244.0,534102,1882864,292171.0,cudaGraphInstantiate
0.8,22927521,6,3821253.5,2720.0,1420,22913911,9353453.8,cudaDeviceSynchronize
0.6,19453835,3160,6156.3,1420.0,880,9513410,170122.6,cudaMallocAsync
0.5,14398994,9324,1544.3,490.0,380,4586176,58413.5,cuKernelGetFunction
0.3,7795759,42,185613.3,175804.0,159033,317937,31453.2,cudaGraphExecDestroy
0.2,4860906,3160,1538.3,1290.0,880,26670,1249.3,cudaFreeAsync
0.1,3761428,7,537346.9,76552.0,8360,2609300,956116.3,cudaFree
0.1,3116755,42,74208.5,71612.0,69252,99262,6540.0,cudaGraphDestroy
0.1,3078241,2,1539120.5,1539120.5,1535965,1542276,4462.6,cudaGetDeviceProperties
0.1,2525396,9,280599.6,137313.0,36340,965462,329994.0,cuLibraryUnload
0.1,1627797,1,1627797.0,1627797.0,1627797,1627797,0.0,cudaHostAlloc
0.0,1157914,182,6362.2,5945.0,5450,32361,2311.0,cudaLaunchKernelExC
0.0,784648,1,784648.0,784648.0,784648,784648,0.0,cudaFreeHost
0.0,616675,1,616675.0,616675.0,616675,616675,0.0,cudaStreamCreate
0.0,592084,8,74010.5,15280.5,10490,185434,83548.5,cudaStreamSynchronize
0.0,527845,1681,314.0,270.0,210,43381,1054.5,cudaMemsetAsync
0.0,492272,42,11720.8,9955.5,3710,25451,7952.8,cudaStreamBeginCapture
0.0,474610,1676,283.2,240.0,160,6220,205.0,cuGetProcAddress_v2
0.0,443931,5,88786.2,112222.0,3451,192155,80410.3,cudaMalloc
0.0,423350,16,26459.4,2860.0,2440,285377,71075.0,cudaStreamCreateWithFlags
0.0,297943,42,7093.9,6975.5,6230,8290,518.2,cudaStreamEndCapture
0.0,106663,25,4266.5,1680.0,440,16051,4029.4,cuLibraryGetKernel
0.0,59411,17,3494.8,2920.0,2560,8380,1714.7,cudaStreamDestroy
0.0,21590,19,1136.3,590.0,510,7770,1679.3,cudaEventCreateWithFlags
0.0,13690,6,2281.7,2170.0,1330,3740,816.7,cuInit
0.0,12691,19,667.9,520.0,420,2511,476.9,cudaEventDestroy
0.0,7260,1,7260.0,7260.0,7260,7260,0.0,cudaEventRecord
0.0,3120,5,624.0,280.0,210,1990,768.2,cuModuleGetLoadingMode
0.0,1400,2,700.0,700.0,440,960,367.7,cudaGetDriverEntryPoint
