Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.7,224763630,44396,5062.7,4910.0,4230,44651,1434.0,cudaLaunchKernel
19.1,92162748,17215,5353.6,5240.0,4530,28830,1430.7,cuLaunchKernel
15.9,76425455,1166,65545.0,8005.0,4001,3242314,291507.0,cudaMemcpyAsync
6.4,31069836,17809,1744.6,1500.0,870,170364,4071.1,cudaMallocAsync
5.7,27455171,17809,1541.6,1510.0,890,24241,768.3,cudaFreeAsync
3.6,17582775,11,1598434.1,1918603.0,1011033,1970204,457048.9,cudaStreamSynchronize
2.0,9565868,17215,555.7,540.0,410,17391,333.6,cuKernelGetFunction
0.3,1659391,286,5802.1,5560.0,5270,22100,1220.0,cudaLaunchKernelExC
0.2,1060649,3355,316.1,310.0,210,810,57.6,cudaMemsetAsync
0.0,6520,1,6520.0,6520.0,6520,6520,0.0,cuProfilerStart
