Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.4,231241359,11,21021941.7,21026463.0,20985211,21050283,21674.7,cudaStreamSynchronize
31.9,227382305,44396,5121.7,4931.0,4250,36621,1579.9,cudaLaunchKernel
13.1,93351496,17215,5422.7,5221.0,4560,75582,1770.2,cuLaunchKernel
10.3,73202088,1166,62780.5,8395.0,4200,2808426,263182.7,cudaMemcpyAsync
6.6,47301833,18084,2615.7,1470.0,840,628865,10166.7,cudaMallocAsync
3.9,28098986,18084,1553.8,1510.0,930,25760,896.5,cudaFreeAsync
1.4,9885149,17215,574.2,550.0,400,19010,338.8,cuKernelGetFunction
0.2,1661267,286,5808.6,5530.0,5110,30671,1632.8,cudaLaunchKernelExC
0.2,1099760,3355,327.8,310.0,210,17820,307.4,cudaMemsetAsync
0.0,9280,1,9280.0,9280.0,9280,9280,0.0,cuProfilerStart
