Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
14.1,77730201,9108,8534.3,6624.0,5984,16576,3383.8,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params)
11.8,65194191,176,370421.5,386351.0,234272,391167,36497.2,"ctranslate2::ops::gather_rows_kernel(ctranslate2::ops::GatherRowsArgs, const int *, unsigned int)"
9.1,50454083,2244,22484.0,22400.0,22079,23744,269.4,"void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1>(Flash_fwd_params)"
6.3,34831097,264,131936.0,132368.0,129568,134271,1528.2,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize160x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel__5x_cublas
6.2,34399189,2376,14477.8,14496.0,11968,16352,660.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
6.2,33990819,2376,14305.9,14208.0,13952,16192,387.1,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
5.9,32732926,187,175042.4,175040.0,174047,176128,388.0,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x10_tn_align8>(T1::Params)
5.2,28643047,2772,10333.0,10752.0,6592,12672,1413.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)
4.5,24836962,7590,3272.3,2848.0,2719,15040,2202.1,"void at::native::LayerNormForwardCUDAKernel<__half, unsigned int>(T2, float, const T1 *, const T1 *, const T1 *, T1 *)"
4.1,22515150,264,85284.7,85423.5,42528,127103,41384.9,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_tn_align8>(T1::Params)
3.6,19958511,7788,2562.7,1824.0,1696,11872,2439.4,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::inner_dim_offset_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, uint4 *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
3.5,19554321,9108,2146.9,2112.0,1727,2752,267.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, __half, __half, __half, (bool)1, (bool)1, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
3.4,18837726,2376,7928.3,7951.5,5792,8992,510.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_tn_align2>(T1::Params)
3.3,18297307,132,138616.0,138592.0,138112,139264,211.7,"void flash_fwd_kernel<Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0>(Flash_fwd_params)"
1.9,10598176,2508,4225.7,2240.0,2112,40448,8445.6,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::binary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const __half *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::cuda::repeat_vec_block<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, const __half *, __half *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, ctranslate2::ops::op_epilogue<__half, ctranslate2::cuda::plus<__half>, ctranslate2::cuda::gelu_func<__half>>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
1.9,10320398,4884,2113.1,1376.0,1312,28096,4264.7,"void ctranslate2::transpose_0213<uint4>(const T1 *, unsigned int, unsigned int, unsigned int, T1 *)"
1.8,10205127,2376,4295.1,4288.0,4160,4384,37.0,"void at::native::cunn_SoftMaxForward<__half, float, __half, unsigned int, int, at::native::SoftMaxForwardEpilogue>(T3 *, const T1 *, T4, const T5 *)"
1.7,9481479,187,50703.1,50688.0,50655,50784,26.2,"void fastertransformer::topk_stage_1<__half, (int)128, (int)8>(T1 *, int *, T1 *, int, int)"
1.6,8934859,132,67688.3,67616.0,67008,68928,440.9,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Params)
0.8,4523895,528,8568.0,7360.0,1824,18368,6417.2,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<const uint4 *, thrust::THRUST_200700_860_NS::permutation_iterator<uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::inner_dim_offset_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
