Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.6,228223381,44396,5140.6,4940.0,4310,45811,1576.4,cudaLaunchKernel
19.8,93180605,17215,5412.8,5280.0,4550,37261,1399.9,cuLaunchKernel
16.3,76636067,1166,65725.6,8395.0,4160,3212532,293664.5,cudaMemcpyAsync
6.3,29389777,18084,1625.2,1590.0,940,25581,905.1,cudaFreeAsync
6.2,29293585,18084,1619.9,1550.0,880,24451,868.7,cudaMallocAsync
2.2,10167226,17215,590.6,560.0,410,20241,440.4,cuKernelGetFunction
0.4,1777578,286,6215.3,5830.0,5480,26500,2067.3,cudaLaunchKernelExC
0.2,1058126,3355,315.4,310.0,210,820,54.3,cudaMemsetAsync
0.0,120561,11,10960.1,9530.0,9020,23761,4303.8,cudaStreamSynchronize
0.0,7370,1,7370.0,7370.0,7370,7370,0.0,cuProfilerStart
