Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.8,230321334,44572,5167.4,4950.0,4281,55831,1559.6,cudaLaunchKernel
17.8,93576635,17215,5435.8,5280.0,4551,30521,1563.2,cuLaunchKernel
13.9,73282591,1166,62849.6,8320.5,4220,2871627,262200.5,cudaMemcpyAsync
8.4,44255030,11,4023184.5,3777338.0,3749777,4728400,430049.8,cudaStreamSynchronize
7.4,39105661,22385,1747.0,1440.0,820,170354,4700.9,cudaMallocAsync
6.4,33524575,22385,1497.6,1420.0,930,25700,836.7,cudaFreeAsync
1.8,9525584,17215,553.3,530.0,400,19751,368.4,cuKernelGetFunction
0.3,1737024,286,6073.5,5810.0,5470,24281,1330.1,cudaLaunchKernelExC
0.2,1094644,3355,326.3,300.0,220,20020,524.1,cudaMemsetAsync
0.0,6480,1,6480.0,6480.0,6480,6480,0.0,cuProfilerStart
