ctranslate2.__file__ = /home/ubuntu/w/r3/python/ctranslate2/__init__.py  lib = /home/ubuntu/w/r3/install/lib/libctranslate2.so.4.8.2
env {'CT2_CUDA_GRAPHS': '1', 'CT2_CUDA_GRAPHS_RESERVE': '128'} flash False
g1g_r3 small float16 ts=True b1 n=1: 84 tok
g1g_r3 small float16 ts=True b1 n=4: 336 tok
g1g_r3 small float16 ts=True b1 n=8: 667 tok
g1g_r3 small float16 ts=True b5 n=1: 84 tok
g1g_r3 small float16 ts=True b5 n=4: 349 tok
g1g_r3 small float16 ts=True b5 n=8: 672 tok
g1g_r3 small float16 ts=False b1 n=1: 5 tok
g1g_r3 small float16 ts=False b1 n=4: 249 tok
g1g_r3 small float16 ts=False b1 n=8: 506 tok
g1g_r3 small float16 ts=False b5 n=1: 16 tok
g1g_r3 small float16 ts=False b5 n=4: 173 tok
g1g_r3 small float16 ts=False b5 n=8: 329 tok
g1g_r3 small int8_float16 ts=True b1 n=1: 84 tok
g1g_r3 small int8_float16 ts=True b1 n=4: 356 tok
g1g_r3 small int8_float16 ts=True b1 n=8: 662 tok
g1g_r3 small int8_float16 ts=True b5 n=1: 75 tok
g1g_r3 small int8_float16 ts=True b5 n=4: 365 tok
g1g_r3 small int8_float16 ts=True b5 n=8: 673 tok
g1g_r3 small int8_float16 ts=False b1 n=1: 5 tok
g1g_r3 small int8_float16 ts=False b1 n=4: 249 tok
g1g_r3 small int8_float16 ts=False b1 n=8: 496 tok
g1g_r3 small int8_float16 ts=False b5 n=1: 17 tok
g1g_r3 small int8_float16 ts=False b5 n=4: 169 tok
g1g_r3 small int8_float16 ts=False b5 n=8: 358 tok
g1g_r3 large-v3 float16 ts=True b1 n=1: 11 tok
g1g_r3 large-v3 float16 ts=True b1 n=4: 252 tok
g1g_r3 large-v3 float16 ts=True b1 n=8: 568 tok
g1g_r3 large-v3 float16 ts=True b5 n=1: 35 tok
g1g_r3 large-v3 float16 ts=True b5 n=4: 276 tok
g1g_r3 large-v3 float16 ts=True b5 n=8: 592 tok
g1g_r3 large-v3 float16 ts=False b1 n=1: 26 tok
g1g_r3 large-v3 float16 ts=False b1 n=4: 255 tok
g1g_r3 large-v3 float16 ts=False b1 n=8: 555 tok
g1g_r3 large-v3 float16 ts=False b5 n=1: 24 tok
g1g_r3 large-v3 float16 ts=False b5 n=4: 236 tok
g1g_r3 large-v3 float16 ts=False b5 n=8: 516 tok
g1g_r3 large-v3 int8_float16 ts=True b1 n=1: 11 tok
g1g_r3 large-v3 int8_float16 ts=True b1 n=4: 252 tok
g1g_r3 large-v3 int8_float16 ts=True b1 n=8: 573 tok
g1g_r3 large-v3 int8_float16 ts=True b5 n=1: 41 tok
g1g_r3 large-v3 int8_float16 ts=True b5 n=4: 276 tok
g1g_r3 large-v3 int8_float16 ts=True b5 n=8: 603 tok
g1g_r3 large-v3 int8_float16 ts=False b1 n=1: 26 tok
g1g_r3 large-v3 int8_float16 ts=False b1 n=4: 255 tok
g1g_r3 large-v3 int8_float16 ts=False b1 n=8: 557 tok
g1g_r3 large-v3 int8_float16 ts=False b5 n=1: 24 tok
g1g_r3 large-v3 int8_float16 ts=False b5 n=4: 237 tok
g1g_r3 large-v3 int8_float16 ts=False b5 n=8: 516 tok
wrote g1g_r3.json 48
