Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
15.9,257719582,30996,8314.6,6400.0,5952,16352,3375.4,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params)
12.8,206951710,637,324884.9,335136.0,203328,340192,24762.8,"ctranslate2::ops::gather_rows_kernel(ctranslate2::ops::GatherRowsArgs, const int *, unsigned int)"
7.8,126374753,15708,8045.2,4096.0,2720,834368,60389.8,"void at::native::cunn_SoftMaxForward<__half, float, __half, unsigned int, int, at::native::SoftMaxForwardEpilogue>(T3 *, const T1 *, T4, const T5 *)"
6.9,112420960,644,174566.7,174560.0,173216,176256,429.3,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x10_tn_align8>(T1::Params)
6.9,111757856,7812,14305.9,14336.0,12032,14656,244.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_nn_align2>(T1::Params)
6.8,110907232,7812,14197.0,14176.0,13856,16032,191.4,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
5.3,86397984,8064,10714.0,10720.0,6560,12608,793.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)
4.6,74475358,7728,9637.1,9568.0,9312,10720,222.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_64x2_nn_align8>(T1::Params)
4.4,72183103,7728,9340.5,9440.0,6688,9792,426.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_tn_align8>(T1::Params)
4.4,71114176,24255,2931.9,2848.0,2688,15200,997.2,"void at::native::LayerNormForwardCUDAKernel<__half, unsigned int>(T2, float, const T1 *, const T1 *, const T1 *, T1 *)"
4.1,67006113,30996,2161.8,2208.0,1728,2752,253.3,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, __half, __half, __half, (bool)1, (bool)1, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
3.8,62050976,7812,7943.0,7968.0,5760,8384,225.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_32x1_tn_align2>(T1::Params)
2.9,47132288,23856,1975.7,1824.0,1536,11872,1138.9,"void cub::CUB_200700_860_NS::detail::for_each::static_kernel<cub::CUB_200700_860_NS::detail::for_each::policy_hub_t::policy_350_t, long, thrust::THRUST_200700_860_NS::cuda_cub::__transform::unary_transform_f<thrust::THRUST_200700_860_NS::permutation_iterator<const uint4 *, thrust::THRUST_200700_860_NS::transform_iterator<ctranslate2::ops::inner_dim_offset_map<unsigned int>, thrust::THRUST_200700_860_NS::counting_iterator<unsigned int, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>, thrust::THRUST_200700_860_NS::use_default, thrust::THRUST_200700_860_NS::use_default>>, uint4 *, thrust::THRUST_200700_860_NS::cuda_cub::__transform::no_stencil_tag, thrust::THRUST_200700_860_NS::cuda_cub::identity, thrust::THRUST_200700_860_NS::cuda_cub::__transform::always_true_predicate>>(T2, T3)"
2.0,32966272,644,51189.9,50720.0,50528,54176,1204.3,"void fastertransformer::topk_stage_1<__half, (int)128, (int)8>(T1 *, int *, T1 *, int, int)"
1.8,29038529,16044,1809.9,1376.0,1312,41728,3578.1,"void ctranslate2::transpose_0213<uint4>(const T1 *, unsigned int, unsigned int, unsigned int, T1 *)"
1.4,22249344,168,132436.6,132736.0,130048,134976,1283.9,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize160x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel__5x_cublas
