Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.6,1158355080,4163,278250.1,5200.0,3360,15457171,816506.0,cudaMemcpyAsync
12.3,196853250,30075,6545.4,4780.0,910,18503812,183044.1,cudaLaunchKernel
3.8,61210746,602,101679.0,94292.5,86592,202735,23555.1,cudaGraphLaunch
2.1,33927544,14,2423396.0,2254703.0,805999,5041908,1475302.2,cuLibraryLoadData
1.8,29449538,8820,3338.9,4770.0,760,36031,2564.1,cuLaunchKernel
1.8,27954554,42,665584.6,586483.5,526372,1974536,299655.8,cudaGraphInstantiate
1.4,22000863,6,3666810.5,2905.0,1420,21987363,8975201.2,cudaDeviceSynchronize
1.2,19307058,3160,6109.8,1380.0,860,9609314,171760.4,cudaMallocAsync
0.9,14233195,8820,1613.7,470.0,360,4724960,61407.8,cuKernelGetFunction
0.5,7477264,42,178030.1,172809.0,147314,314098,32895.7,cudaGraphExecDestroy
0.3,4721994,3160,1494.3,1270.5,870,21390,946.3,cudaFreeAsync
0.2,3866501,7,552357.3,77312.0,9290,2706303,989973.5,cudaFree
0.2,3162862,42,75306.2,72746.5,68712,102172,7120.0,cudaGraphDestroy
0.2,3089702,2,1544851.0,1544851.0,1527725,1561977,24219.8,cudaGetDeviceProperties
0.1,1881304,1,1881304.0,1881304.0,1881304,1881304,0.0,cudaHostAlloc
0.1,1685969,8,210746.1,91537.0,9320,1125576,377677.0,cudaStreamSynchronize
0.1,1322191,9,146910.1,74982.0,38851,424200,144786.5,cuLibraryUnload
0.1,1165525,182,6404.0,5915.0,5400,33681,2299.0,cudaLaunchKernelExC
0.1,843260,1,843260.0,843260.0,843260,843260,0.0,cudaFreeHost
0.0,537568,1681,319.8,280.0,210,36531,886.9,cudaMemsetAsync
0.0,501934,42,11950.8,10690.0,3990,30871,7992.7,cudaStreamBeginCapture
0.0,483031,1676,288.2,240.0,150,6200,208.1,cuGetProcAddress_v2
0.0,476851,5,95370.2,127443.0,3460,197384,84725.2,cudaMalloc
0.0,440170,1,440170.0,440170.0,440170,440170,0.0,cudaStreamCreate
0.0,364718,16,22794.9,3390.0,2750,245756,60692.5,cudaStreamCreateWithFlags
0.0,312377,42,7437.5,7335.0,6650,8581,535.5,cudaStreamEndCapture
0.0,102172,24,4257.2,1560.0,450,10420,3626.7,cuLibraryGetKernel
0.0,60971,17,3586.5,3040.0,2540,8510,1719.0,cudaStreamDestroy
0.0,23320,19,1227.4,570.0,510,6860,1547.2,cudaEventCreateWithFlags
0.0,14311,6,2385.2,2535.0,1360,3150,609.2,cuInit
0.0,13140,19,691.6,570.0,410,2410,460.3,cudaEventDestroy
0.0,8570,1,8570.0,8570.0,8570,8570,0.0,cudaEventRecord
0.0,3080,5,616.0,400.0,200,1840,691.6,cuModuleGetLoadingMode
0.0,1540,2,770.0,770.0,460,1080,438.4,cudaGetDriverEntryPoint
