Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.6,1195597895,4163,287196.2,5081.0,3350,15605434,835832.7,cudaMemcpyAsync
10.5,163210264,19197,8501.9,4740.0,920,18038141,226367.7,cudaLaunchKernel
3.7,58248717,616,94559.6,91312.0,85672,215795,14894.2,cudaGraphLaunch
2.1,33154994,14,2368213.9,2198576.0,786678,4936445,1449759.6,cuLibraryLoadData
1.5,23799875,6,3966645.8,2820.0,1420,23786205,9709561.5,cudaDeviceSynchronize
1.4,21181245,5250,4034.5,4755.5,770,23440,2192.0,cuLaunchKernel
1.2,18166564,2460,7384.8,1370.0,850,9605214,194673.3,cudaMallocAsync
0.8,12083460,5250,2301.6,500.0,370,4524516,77114.6,cuKernelGetFunction
0.7,11289771,14,806412.2,633510.0,580253,1922255,462488.7,cudaGraphInstantiate
0.2,3796320,7,542331.4,78432.0,7660,2620551,960558.6,cudaFree
0.2,3503558,2460,1424.2,1260.0,880,19780,795.2,cudaFreeAsync
0.2,3069981,2,1534990.5,1534990.5,1526315,1543666,12269.0,cudaGetDeviceProperties
0.2,3019062,14,215647.3,199005.0,179384,321428,43809.4,cudaGraphExecDestroy
0.1,1826442,1,1826442.0,1826442.0,1826442,1826442,0.0,cudaHostAlloc
0.1,1358451,9,150939.0,96342.0,40501,346228,106854.0,cuLibraryUnload
0.1,1224248,8,153031.0,146733.0,13211,446440,132675.5,cudaStreamSynchronize
0.1,1171988,182,6439.5,5820.0,5240,50171,3818.1,cudaLaunchKernelExC
0.1,1037486,14,74106.1,72807.0,69061,80312,3455.0,cudaGraphDestroy
0.0,779288,1,779288.0,779288.0,779288,779288,0.0,cudaFreeHost
0.0,486000,1676,290.0,250.0,160,6010,204.6,cuGetProcAddress_v2
0.0,454712,5,90942.4,117543.0,3550,199935,83218.0,cudaMalloc
0.0,418939,1,418939.0,418939.0,418939,418939,0.0,cudaStreamCreate
0.0,395108,1135,348.1,270.0,210,66572,1969.3,cudaMemsetAsync
0.0,377618,16,23601.1,3460.0,2660,255665,63117.0,cudaStreamCreateWithFlags
0.0,211936,14,15138.3,14400.5,3780,32371,11521.7,cudaStreamBeginCapture
0.0,103892,14,7420.9,7425.0,6610,8251,477.3,cudaStreamEndCapture
0.0,98912,24,4121.3,1500.0,460,9700,3421.2,cuLibraryGetKernel
0.0,63051,17,3708.9,3140.0,2710,8430,1721.3,cudaStreamDestroy
0.0,25420,19,1337.9,570.0,500,6780,1744.0,cudaEventCreateWithFlags
0.0,14381,6,2396.8,2630.5,1430,2970,607.1,cuInit
0.0,12870,19,677.4,530.0,420,2630,500.9,cudaEventDestroy
0.0,8280,1,8280.0,8280.0,8280,8280,0.0,cudaEventRecord
0.0,2850,5,570.0,340.0,210,1750,662.8,cuModuleGetLoadingMode
0.0,1390,2,695.0,695.0,460,930,332.3,cudaGetDriverEntryPoint
