Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.3,1190714715,4163,286023.2,5080.0,3440,15235315,824681.5,cudaMemcpyAsync
10.7,166652389,19197,8681.2,4990.0,930,18045601,225269.5,cudaLaunchKernel
3.7,58278839,616,94608.5,91672.0,85952,219125,14651.1,cudaGraphLaunch
2.1,33132473,14,2366605.2,2206361.0,784958,4925515,1452108.4,cuLibraryLoadData
1.5,23809346,6,3968224.3,2870.0,1750,23795156,9713173.2,cudaDeviceSynchronize
1.4,22149043,5250,4218.9,5001.0,820,24901,2261.7,cuLaunchKernel
1.2,18064166,2460,7343.2,1380.0,860,9559393,193657.3,cudaMallocAsync
0.8,12230638,5250,2329.6,521.0,370,4540627,77278.6,cuKernelGetFunction
0.7,11247085,14,803363.2,625090.0,583194,1930135,469782.4,cudaGraphInstantiate
0.2,3793330,7,541904.3,76222.0,8510,2634222,964640.3,cudaFree
0.2,3569198,2460,1450.9,1270.0,880,19710,898.8,cudaFreeAsync
0.2,3156244,14,225446.0,206659.5,183324,332098,46040.8,cudaGraphExecDestroy
0.2,3114962,2,1557481.0,1557481.0,1553496,1561466,5635.6,cudaGetDeviceProperties
0.1,1867563,1,1867563.0,1867563.0,1867563,1867563,0.0,cudaHostAlloc
0.1,1478941,8,184867.6,186154.0,14530,506611,150579.7,cudaStreamSynchronize
0.1,1305550,9,145061.1,80532.0,35670,441840,136288.1,cuLibraryUnload
0.1,1163138,182,6390.9,5905.0,5460,34031,2610.7,cudaLaunchKernelExC
0.1,1062663,14,75904.5,75591.5,71511,82882,3811.4,cudaGraphDestroy
0.0,769628,1,769628.0,769628.0,769628,769628,0.0,cudaFreeHost
0.0,485920,5,97184.0,123683.0,3470,199394,86426.3,cudaMalloc
0.0,480051,1676,286.4,240.0,160,6550,212.7,cuGetProcAddress_v2
0.0,420000,1,420000.0,420000.0,420000,420000,0.0,cudaStreamCreate
0.0,383017,1135,337.5,270.0,210,35680,1152.5,cudaMemsetAsync
0.0,366909,16,22931.8,3405.0,2810,248806,61438.1,cudaStreamCreateWithFlags
0.0,202906,14,14493.3,13760.5,3910,28201,10780.7,cudaStreamBeginCapture
0.0,105641,14,7545.8,7575.0,6920,8490,470.4,cudaStreamEndCapture
0.0,97332,24,4055.5,1545.0,450,9390,3347.4,cuLibraryGetKernel
0.0,58741,17,3455.4,2880.0,2680,8500,1701.3,cudaStreamDestroy
0.0,21632,19,1138.5,540.0,490,7580,1656.4,cudaEventCreateWithFlags
0.0,13890,19,731.1,590.0,420,2750,515.9,cudaEventDestroy
0.0,13882,6,2313.7,2345.5,1300,3171,634.8,cuInit
0.0,8060,1,8060.0,8060.0,8060,8060,0.0,cudaEventRecord
0.0,3060,5,612.0,390.0,200,1780,661.9,cuModuleGetLoadingMode
0.0,1400,2,700.0,700.0,440,960,367.7,cudaGetDriverEntryPoint
